outla,inla,moves
E06000004,E08000034,18.1757
E06000004,E08000035,107.4228
E06000004,E08000036,21.681599999999996
E06000004,E08000037,72.2807
E06000004,E09000002,1.2998
E06000004,E09000003,17.3926
E06000004,E09000004,3.9513
E06000004,E09000005,14.2348
E06000004,E09000007,14.4791
E06000004,E09000008,10.012799999999999
E06000004,E09000009,13.3828
E06000004,E09000010,9.3547
E06000004,E09000011,7.920999999999999
E06000004,E09000012,11.9709
E06000004,E09000013,4.9201999999999995
E06000004,E09000014,10.687100000000001
E06000004,E09000015,2.3607
E06000004,E09000016,1.3042
E06000004,E09000017,9.186
E06000004,E09000018,4.9268
E06000004,E09000019,12.8534
E06000004,E09000020,1.4151
E06000004,E09000021,1.3491
E06000004,E09000022,6.7582
E06000004,E09000023,9.391300000000001
E06000004,E09000024,3.8686
E06000004,E09000025,7.4784999999999995
E06000004,E09000026,5.9874
E06000004,E09000027,4.0583
E06000004,E09000028,9.442900000000002
E06000004,E09000029,1.2858
E06000004,E09000030,10.590300000000001
E06000004,E09000031,5.9973
E06000004,E09000032,14.1787
E06000004,E09000033,5.6312999999999995
E06000004,W06000002,1.2373
E06000004,W06000006,1.2195
E06000004,W06000009,2.3057
E06000004,W06000011,1.3815
E06000004,W06000014,1.3448
